[08-May-2020 01:06:59 UTC] auditor:event=wp_login {"user_id":2,"blog_id":1,"event":"wp_login","current_user_id":0,"remote_addr":"127.0.0.1"}
[08-May-2020 03:44:30 UTC] auditor:event=wp_login {"user_id":2,"blog_id":1,"event":"wp_login","current_user_id":0,"remote_addr":"127.0.0.1"}
[08-May-2020 03:46:01 UTC] auditor:event=wp_login {"user_id":2,"blog_id":1,"event":"wp_login","current_user_id":0,"remote_addr":"127.0.0.1"}
[08-May-2020 03:47:25 UTC] auditor:event=wp_login {"user_id":2,"blog_id":1,"event":"wp_login","current_user_id":0,"remote_addr":"127.0.0.1"}
[08-May-2020 03:49:19 UTC] auditor:event=wp_login {"user_id":2,"blog_id":1,"event":"wp_login","current_user_id":0,"remote_addr":"127.0.0.1"}
[08-May-2020 06:21:35 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"theme","name":"Model B Template","slug":"modelb","ver":"3.5","sig":"v1:7b926a2419a4d9efb2d369f0cc4f3b79fbd81c6be2969fdd1653b8064bfd76ff"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"mu-plugin","name":"Local by Flywheel Live Link Helper","slug":"local-by-flywheel-live-link-helper.php","ver":"1.1","sig":"v1:4d649e96d9a75e6a80978d19266aabf6565c07e44416073cfd50a659b85b6e40"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"mu-plugin","name":"Force Strong Passwords - WPE Edition","slug":"slt-force-strong-passwords.php","ver":"1.6.4","sig":"v1:47cdb56f45d33c73a1a9ff15e35dd71ea72a79b728c1b5f608b7b84906bb9e70"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"mu-plugin","name":"WP Engine Seamless Login Plugin","slug":"wpe-wp-sign-on-plugin.php","ver":"1.5.4","sig":"v1:bdb3a6d246a1cb9265f2ec1785477ba84d8e7c4af6aa7af514c38829a38f5342"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"mu-plugin","name":"WP Engine Security Auditor","slug":"wpengine-security-auditor.php","ver":"1.0.8","sig":"v1:cd2e068d3967655c0e34da64c8789c7a4c0a94e931f328a00c4ccc857d3c3f28"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Advanced Custom Fields PRO","slug":"advanced-custom-fields-pro/acf.php","ver":"5.8.9","sig":"v1:cc125864b02c3822b17a63d77eb8bbdccff2aa75df26623f9d36d892bdb9dd2b"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Classic Editor","slug":"classic-editor/classic-editor.php","ver":"1.5","sig":"v1:8df1584d577e702b0751b47c394875a8ab9e40c1db5a56b22de2fd77f6a2e8f8"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Custom Post Type UI","slug":"custom-post-type-ui/custom-post-type-ui.php","ver":"1.7.4","sig":"v1:bb45d75100a2bb0b3b6db4c85b5c775ac6b8184c88a7853f42810893eaaca7b5"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Duplicate Page","slug":"duplicate-page/duplicatepage.php","ver":"4.2","sig":"v1:bd5bddd5f021b90b0208ca5d5cece53ec3ed916d850df5416040a2e710736861"}
[08-May-2020 08:27:01 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Easy Smooth Scroll Links","slug":"easy-smooth-scroll-links/index.php","ver":"2.2","sig":"v1:6529f5aa418d6e8eca5182fb7b3b7f35bc375db661659f84d5533d0b29f05d71"}
